,Organization Group,Departments,Group Code,Amount_Sum_199-2017
0,Culture & Recreation,AAM Asian Art Museum,2,241318210.12
1,Culture & Recreation,ADM Gen Svcs Agency-City Admin,2,4540159711.719995
2,Public Protection,ADP Adult Probation,6,376464090.77999973
3,"Public Works, Transportation & Commerce",AIR Airport Commission,7,32613407279.2699
4,Culture & Recreation,ART Arts Commission,2,343453411.05000013
5,General Administration & Finance,ASR Assessor / Recorder,3,366812127.03000087
6,"Public Works, Transportation & Commerce",BOA Board Of Appeals - PAB,7,22099403.789999988
7,General Administration & Finance,BOS Board Of Supervisors,3,203455024.27999967
8,General Administration & Finance,CAT City Attorney,3,354044990.48999923
9,Human Welfare & Neighborhood Development,CCD SF Communtiy College Dist,5,2711691407.7299995
10,Human Welfare & Neighborhood Development,CFC Children & Families Commsn,5,601683464.5099992
11,Human Welfare & Neighborhood Development,CHF Children;Youth & Families,5,3079447007.119999
12,Human Welfare & Neighborhood Development,CII Commty Invest & Infrstrctr,5,1009124857.3799992
13,General Administration & Finance,CON Controller,3,376366481.15
14,General Administration & Finance,CPC City Planning,3,773732122.759998
15,Public Protection,CRT Superior Court,6,3083807839.9100018
16,General Administration & Finance,CSC Civil Service Commission,3,10987094.389999995
17,Human Welfare & Neighborhood Development,CSS Child Support Services,5,538355381.2600002
18,"Public Works, Transportation & Commerce",CTA SF County Transprtn Auth,7,4006030935.7700005
19,Public Protection,DAT District Attorney,6,878466938.7699986
20,"Public Works, Transportation & Commerce",DBI Building Inspection,7,1702417629.1100056
21,Public Protection,DEM Emergency Management,6,2021799553.4700024
22,Community Health,DPH Public Health,1,48286438913.01995
23,"Public Works, Transportation & Commerce",DPW GSA - Public Works,7,10142727508.280046
24,General Administration & Finance,DT GSA - Technology,3,190829592.30000037
25,"Public Works, Transportation & Commerce",ECN Economic & Wrkfrce Dvlpmnt,7,551422281.3200003
26,Human Welfare & Neighborhood Development,ENV Environment,5,509713317.85000074
27,General Administration & Finance,ETH Ethics Commission,3,45298908.71000003
28,Culture & Recreation,FAM Fine Arts Museum,2,420987911.1499996
29,Public Protection,FIR Fire Department,6,6299810241.810002
30,General City Responsibilities,GEN General City / Unallocated,4,39513984033.96992
31,"Public Works, Transportation & Commerce",HHP CleanPowerSF,7,67064998.039999984
32,"Public Works, Transportation & Commerce",HHP Hetch Hetchy Water & Power,7,4871470015.210002
33,Human Welfare & Neighborhood Development,HOM HOMELESSNESS SERVICES,5,194580114.4400001
34,Human Welfare & Neighborhood Development,HRC Human Rights Commission,5,27402043.350000024
35,General Administration & Finance,HRD Human Resources,3,3890413054.369999
36,Human Welfare & Neighborhood Development,HSA Human Services Agency,5,19085137688.78001
37,General Administration & Finance,HSS Health Service System,3,17266417289.010017
38,Public Protection,JUV Juvenile Probation,6,709796706.5100012
39,Culture & Recreation,LIB Public Library,2,3015326801.210005
40,Culture & Recreation,LLB Law Library,2,12883753.620000001
41,"Public Works, Transportation & Commerce",MTA Municipal Transprtn Agncy,7,35302717140.26007
42,General Administration & Finance,MYR Mayor,3,4252904430.839996
43,Public Protection,PDR Public Defender,6,419641732.2100004
44,Public Protection,POL Police,6,8725908629.540045
45,"Public Works, Transportation & Commerce",PRT Port,7,2896874860.4999995
46,"Public Works, Transportation & Commerce",PUB Public Utilities Bureaus,7,4563522994.579999
47,Culture & Recreation,REC Recreation & Park Commsn,2,4022645216.850007
48,General Administration & Finance,REG Elections,3,271330355.7099999
49,General Administration & Finance,RET Retirement System,3,30903473885.39997
50,Human Welfare & Neighborhood Development,RNT Rent Arbitration Board,5,175409265.32999992
51,Culture & Recreation,SCI Academy Of Sciences,2,73614732.58000004
52,Public Protection,SHF Sheriff,6,2588507003.280006
53,"Public Works, Transportation & Commerce",TJP Transbay Joint Power Auth,7,19555219.540000003
54,General Administration & Finance,TTX Treasurer/Tax Collector,3,549292408.230001
55,Human Welfare & Neighborhood Development,USD County Education Office,5,7511806268.839998
56,Culture & Recreation,WAR War Memorial,2,825143923.7899992
57,Human Welfare & Neighborhood Development,WOM Status Of Women,5,76552466.73999995
58,"Public Works, Transportation & Commerce",WTR Water Enterprise,7,14794512651.730053
59,"Public Works, Transportation & Commerce",WWE Wastewater Enterprise,7,8593889195.579992
