,Department,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AAM Asian Art Museum,AAM Asian Art Museum,3688368.1700000004,34322627.64999998,25074878.77,17880108.910000008,19359352.189999998,10554718.360000001,9882499.789999997,9549675.960000003,9730163.520000003,10281101.979999999,10602803.2,10226014.870000001,9693537.150000002,10250951.910000004,11041586.930000005,9012591.17,9283314.020000001,9921710.879999999,10962204.69
ADM Gen Svcs Agency-City Admin,ADM Gen Svcs Agency-City Admin,151624280.52000004,214899721.52000016,362756101.5100003,226845465.0699999,313759069.3399997,212988713.27999976,157404144.2300001,184667653.48,226257024.8999999,217734669.69999972,216061204.28999993,184107071.32,202228089.64000005,228749373.26000002,198111703.5499997,179085511.07,235291285.9999998,355429846.2500004,472158782.7899999
ADP Adult Probation,ADP Adult Probation,11485184.33,12356840.860000003,10243416.280000003,10399546.949999997,10519802.419999996,9902224.260000002,10656147.4,11233901.000000002,11909346.169999994,12025546.419999994,12556692.580000002,12123849.949999996,13109835.850000005,23351980.419999972,35262458.20000003,35738637.000000045,39665262.85,47003107.219999984,46920310.620000005
AIR Airport Commission,AIR Airport Commission,2278242805.9699993,1831910532.96,1835415163.3000019,1444501382.0400007,1224236849.5400002,1237556357.3900006,1190740058.3999999,1210773979.3499992,1266285935.83,1325256611.420001,1419419499.9799986,1974136269.9599988,1567918624.0800014,1546342570.9699976,1960540141.6800005,2583994787.089999,2272495572.62,2449162569.78,1994477566.9099987
ART Arts Commission,ART Arts Commission,12518089.169999998,14114775.73999999,17218268.40999999,17005851.130000006,15227730.369999997,13757318.8,13890252.990000004,13544849.18000002,15861721.82,18496313.380000006,18279770.96000001,17519996.030000012,18778996.539999984,20423808.639999982,20885832.34,19765515.589999996,21471797.00000001,28060378.240000024,26632144.720000014
ASR Assessor / Recorder,ASR Assessor / Recorder,15918157.390000004,16921584.59,15918965.53,16567481.269999992,17530711.029999994,16399631.739999989,15084188.280000001,14632527.029999994,15887232.629999992,16075126.879999999,16227285.889999995,17314312.76999999,19871160.65,22234664.259999998,24330433.709999997,23452150.540000003,23312321.929999996,26308025.179999992,32826165.730000015
BOA Board Of Appeals - PAB,BOA Board Of Appeals - PAB,355067.29999999993,383665.5100000001,441604.36000000004,470405.26999999996,470280.29999999993,677431.9600000001,870971.0799999998,1053567.45,1109079.27,1090753.0200000003,1444066.2800000003,1543285.25,1717832.8799999994,1657328.0199999996,1722232.16,1762589.89,1770031.3599999999,1721810.1399999997,1837402.2899999998
BOS Board Of Supervisors,BOS Board Of Supervisors,8453918.919999998,8733397.919999998,9203690.170000007,9965599.659999998,8986447.820000004,9284106.179999996,8402994.309999999,10203105.740000004,10263733.919999994,10527287.129999997,11173852.679999998,10513705.149999999,10671920.749999998,10983683.060000002,12017328.350000005,12926530.829999996,13587326.599999996,13432327.149999997,14124067.94
CAT City Attorney,CAT City Attorney,14473968.960000014,19092397.069999978,17155420.610000007,26415954.78999999,9557764.589999992,10944837.129999982,10752773.159999985,20332671.649999984,17776368.319999974,19744894.12999997,15948763.170000002,16100656.579999996,21173800.150000036,15097668.590000028,33127295.40000003,16783075.46000002,18019728.739999987,30039104.400000006,21507847.589999992
CCD SF Communtiy College Dist,CCD SF Communtiy College Dist,97703131.93,69398640.12999998,45931710.07999999,81046247.23,55897421.849999994,106793350.38,215457612.21999997,258202657.25000003,172872981.79000002,283430450.12000006,170518112.47000006,198715725.64000008,134614002.62,146611252.99,120981167.73999996,129877479.44999999,121861207.64,146036167.61,155742088.59
