,Organization Group,Departments,Group Code,Amount_Sum_199-2017
5,General Administration & Finance,ASR Assessor / Recorder,3,84885470.37000002
7,General Administration & Finance,BOS Board Of Supervisors,3,5345533.12
8,General Administration & Finance,CAT City Attorney,3,53772141.43000004
13,General Administration & Finance,CON Controller,3,58774311.90000008
14,General Administration & Finance,CPC City Planning,3,369950158.90999997
16,General Administration & Finance,CSC Civil Service Commission,3,12439.150000000023
24,General Administration & Finance,DT GSA - Technology,3,87166360.95999987
27,General Administration & Finance,ETH Ethics Commission,3,2584834.8100000005
35,General Administration & Finance,HRD Human Resources,3,1829919051.8700013
37,General Administration & Finance,HSS Health Service System,3,8656625227.540012
42,General Administration & Finance,MYR Mayor,3,2288550306.2000003
48,General Administration & Finance,REG Elections,3,32729933.739999995
49,General Administration & Finance,RET Retirement System,3,15566782378.429993
54,General Administration & Finance,TTX Treasurer/Tax Collector,3,142507421.2
