,Organization Group,Departments,Group Code,Amount_Sum_199-2017
5,General Administration & Finance,ASR Assessor / Recorder,3,281926656.6600004
7,General Administration & Finance,BOS Board Of Supervisors,3,198109491.15999964
8,General Administration & Finance,CAT City Attorney,3,300272849.0599997
13,General Administration & Finance,CON Controller,3,317592169.2500001
14,General Administration & Finance,CPC City Planning,3,403781963.84999996
16,General Administration & Finance,CSC Civil Service Commission,3,10974655.23999999
24,General Administration & Finance,DT GSA - Technology,3,103663231.34000008
27,General Administration & Finance,ETH Ethics Commission,3,42714073.90000001
35,General Administration & Finance,HRD Human Resources,3,2060494002.5399983
37,General Administration & Finance,HSS Health Service System,3,8609792061.149996
42,General Administration & Finance,MYR Mayor,3,1964354124.6300008
48,General Administration & Finance,REG Elections,3,238600421.96999994
49,General Administration & Finance,RET Retirement System,3,15336691506.549963
54,General Administration & Finance,TTX Treasurer/Tax Collector,3,406784987.0300008
