,Organization Group,Departments,Group Code,Amount_Sum_199-2017
9,Human Welfare & Neighborhood Development,CCD SF Communtiy College Dist,5,1875606759.0499976
10,Human Welfare & Neighborhood Development,CFC Children & Families Commsn,5,316611206.5999999
11,Human Welfare & Neighborhood Development,CHF Children;Youth & Families,5,1361535288.749999
12,Human Welfare & Neighborhood Development,CII Commty Invest & Infrstrctr,5,557004122.1599998
17,Human Welfare & Neighborhood Development,CSS Child Support Services,5,269499902.6700001
26,Human Welfare & Neighborhood Development,ENV Environment,5,247059374.13999993
33,Human Welfare & Neighborhood Development,HOM HOMELESSNESS SERVICES,5,25548413.87
34,Human Welfare & Neighborhood Development,HRC Human Rights Commission,5,170954.3200000003
36,Human Welfare & Neighborhood Development,HSA Human Services Agency,5,8057331511.949996
50,Human Welfare & Neighborhood Development,RNT Rent Arbitration Board,5,87921782.61999999
55,Human Welfare & Neighborhood Development,USD County Education Office,5,6339309221.379996
57,Human Welfare & Neighborhood Development,WOM Status Of Women,5,5781607.300000001
