,Organization Group,Departments,Group Code,Amount_Sum_199-2017
9,Human Welfare & Neighborhood Development,CCD SF Communtiy College Dist,5,836084648.6799997
10,Human Welfare & Neighborhood Development,CFC Children & Families Commsn,5,285072257.9100004
11,Human Welfare & Neighborhood Development,CHF Children;Youth & Families,5,1717911718.3700051
12,Human Welfare & Neighborhood Development,CII Commty Invest & Infrstrctr,5,452120735.22999996
17,Human Welfare & Neighborhood Development,CSS Child Support Services,5,268855478.59000033
26,Human Welfare & Neighborhood Development,ENV Environment,5,262653943.70999962
33,Human Welfare & Neighborhood Development,HOM HOMELESSNESS SERVICES,5,169031700.57000008
34,Human Welfare & Neighborhood Development,HRC Human Rights Commission,5,27231089.03000002
36,Human Welfare & Neighborhood Development,HSA Human Services Agency,5,11027806176.830038
50,Human Welfare & Neighborhood Development,RNT Rent Arbitration Board,5,87487482.71000005
55,Human Welfare & Neighborhood Development,USD County Education Office,5,1172497047.54
57,Human Welfare & Neighborhood Development,WOM Status Of Women,5,70770859.44
