,Organization Group,Departments,Group Code,Amount_Sum_199-2017
3,"Public Works, Transportation & Commerce",AIR Airport Commission,7,16486314835.549995
6,"Public Works, Transportation & Commerce",BOA Board Of Appeals - PAB,7,10286375.319999998
18,"Public Works, Transportation & Commerce",CTA SF County Transprtn Auth,7,2277988367.9799995
20,"Public Works, Transportation & Commerce",DBI Building Inspection,7,931452068.110001
23,"Public Works, Transportation & Commerce",DPW GSA - Public Works,7,3539110272.2299953
25,"Public Works, Transportation & Commerce",ECN Economic & Wrkfrce Dvlpmnt,7,191646676.36000007
31,"Public Works, Transportation & Commerce",HHP CleanPowerSF,7,37383397.77
32,"Public Works, Transportation & Commerce",HHP Hetch Hetchy Water & Power,7,2611988222.8900003
41,"Public Works, Transportation & Commerce",MTA Municipal Transprtn Agncy,7,18013696268.53998
45,"Public Works, Transportation & Commerce",PRT Port,7,1579410144.8199995
46,"Public Works, Transportation & Commerce",PUB Public Utilities Bureaus,7,-8062980.040000016
53,"Public Works, Transportation & Commerce",TJP Transbay Joint Power Auth,7,10277516.0
58,"Public Works, Transportation & Commerce",WTR Water Enterprise,7,9574318282.820028
59,"Public Works, Transportation & Commerce",WWE Wastewater Enterprise,7,4811511776.480004
