,Organization Group,Departments,Group Code,Amount_Sum_199-2017
3,"Public Works, Transportation & Commerce",AIR Airport Commission,7,16127092443.059923
6,"Public Works, Transportation & Commerce",BOA Board Of Appeals - PAB,7,11813028.469999997
18,"Public Works, Transportation & Commerce",CTA SF County Transprtn Auth,7,1728042567.82
20,"Public Works, Transportation & Commerce",DBI Building Inspection,7,770965561.0000014
23,"Public Works, Transportation & Commerce",DPW GSA - Public Works,7,6603617236.040018
25,"Public Works, Transportation & Commerce",ECN Economic & Wrkfrce Dvlpmnt,7,359775604.9600004
31,"Public Works, Transportation & Commerce",HHP CleanPowerSF,7,29681600.269999992
32,"Public Works, Transportation & Commerce",HHP Hetch Hetchy Water & Power,7,2259481792.2999983
41,"Public Works, Transportation & Commerce",MTA Municipal Transprtn Agncy,7,17289020871.540035
45,"Public Works, Transportation & Commerce",PRT Port,7,1317464715.6800065
46,"Public Works, Transportation & Commerce",PUB Public Utilities Bureaus,7,4571585974.6500025
53,"Public Works, Transportation & Commerce",TJP Transbay Joint Power Auth,7,9277703.540000001
58,"Public Works, Transportation & Commerce",WTR Water Enterprise,7,5220194368.859986
59,"Public Works, Transportation & Commerce",WWE Wastewater Enterprise,7,3782377418.9700065
