,Organization Group,Departments,Group Code,Amount_Sum_199-2017
0,Culture & Recreation,AAM Asian Art Museum,2,55684297.3
1,Culture & Recreation,ADM Gen Svcs Agency-City Admin,2,2033015989.39
2,Public Protection,ADP Adult Probation,6,94274951.63999999
3,"Public Works, Transportation & Commerce",AIR Airport Commission,7,16486314835.549995
4,Culture & Recreation,ART Arts Commission,2,119632204.58999996
5,General Administration & Finance,ASR Assessor / Recorder,3,84885470.37000002
6,"Public Works, Transportation & Commerce",BOA Board Of Appeals - PAB,7,10286375.319999998
7,General Administration & Finance,BOS Board Of Supervisors,3,5345533.12
8,General Administration & Finance,CAT City Attorney,3,53772141.43000004
9,Human Welfare & Neighborhood Development,CCD SF Communtiy College Dist,5,1875606759.0499976
10,Human Welfare & Neighborhood Development,CFC Children & Families Commsn,5,316611206.5999999
11,Human Welfare & Neighborhood Development,CHF Children;Youth & Families,5,1361535288.749999
12,Human Welfare & Neighborhood Development,CII Commty Invest & Infrstrctr,5,557004122.1599998
13,General Administration & Finance,CON Controller,3,58774311.90000008
14,General Administration & Finance,CPC City Planning,3,369950158.90999997
15,Public Protection,CRT Superior Court,6,1235673973.4899998
16,General Administration & Finance,CSC Civil Service Commission,3,12439.150000000023
17,Human Welfare & Neighborhood Development,CSS Child Support Services,5,269499902.6700001
18,"Public Works, Transportation & Commerce",CTA SF County Transprtn Auth,7,2277988367.9799995
19,Public Protection,DAT District Attorney,6,162447182.57999998
20,"Public Works, Transportation & Commerce",DBI Building Inspection,7,931452068.110001
21,Public Protection,DEM Emergency Management,6,765001836.13
22,Community Health,DPH Public Health,1,22894277211.26994
23,"Public Works, Transportation & Commerce",DPW GSA - Public Works,7,3539110272.2299953
24,General Administration & Finance,DT GSA - Technology,3,87166360.95999987
25,"Public Works, Transportation & Commerce",ECN Economic & Wrkfrce Dvlpmnt,7,191646676.36000007
26,Human Welfare & Neighborhood Development,ENV Environment,5,247059374.13999993
27,General Administration & Finance,ETH Ethics Commission,3,2584834.8100000005
28,Culture & Recreation,FAM Fine Arts Museum,2,158668800.26999998
29,Public Protection,FIR Fire Department,6,1322935295.03
30,General City Responsibilities,GEN General City / Unallocated,4,33875671554.53999
31,"Public Works, Transportation & Commerce",HHP CleanPowerSF,7,37383397.77
32,"Public Works, Transportation & Commerce",HHP Hetch Hetchy Water & Power,7,2611988222.8900003
33,Human Welfare & Neighborhood Development,HOM HOMELESSNESS SERVICES,5,25548413.87
34,Human Welfare & Neighborhood Development,HRC Human Rights Commission,5,170954.3200000003
35,General Administration & Finance,HRD Human Resources,3,1829919051.8700013
36,Human Welfare & Neighborhood Development,HSA Human Services Agency,5,8057331511.949996
37,General Administration & Finance,HSS Health Service System,3,8656625227.540012
38,Public Protection,JUV Juvenile Probation,6,108774318.20000003
39,Culture & Recreation,LIB Public Library,2,1623988196.3800004
40,Culture & Recreation,LLB Law Library,2,16183.0
41,"Public Works, Transportation & Commerce",MTA Municipal Transprtn Agncy,7,18013696268.53998
42,General Administration & Finance,MYR Mayor,3,2288550306.2000003
43,Public Protection,PDR Public Defender,6,7723184.329999999
44,Public Protection,POL Police,6,1159851771.269999
45,"Public Works, Transportation & Commerce",PRT Port,7,1579410144.8199995
46,"Public Works, Transportation & Commerce",PUB Public Utilities Bureaus,7,-8062980.040000016
47,Culture & Recreation,REC Recreation & Park Commsn,2,1820791501.9600017
48,General Administration & Finance,REG Elections,3,32729933.739999995
49,General Administration & Finance,RET Retirement System,3,15566782378.429993
50,Human Welfare & Neighborhood Development,RNT Rent Arbitration Board,5,87921782.61999999
51,Culture & Recreation,SCI Academy Of Sciences,2,11873351.0
52,Public Protection,SHF Sheriff,6,120599791.45000006
53,"Public Works, Transportation & Commerce",TJP Transbay Joint Power Auth,7,10277516.0
54,General Administration & Finance,TTX Treasurer/Tax Collector,3,142507421.2
55,Human Welfare & Neighborhood Development,USD County Education Office,5,6339309221.379996
56,Culture & Recreation,WAR War Memorial,2,483813552.88000023
57,Human Welfare & Neighborhood Development,WOM Status Of Women,5,5781607.300000001
58,"Public Works, Transportation & Commerce",WTR Water Enterprise,7,9574318282.820028
59,"Public Works, Transportation & Commerce",WWE Wastewater Enterprise,7,4811511776.480004
