,Organization Group,Departments,Group Code,Amount_Sum_199-2017
0,Culture & Recreation,AAM Asian Art Museum,2,185633912.81999984
1,Culture & Recreation,ADM Gen Svcs Agency-City Admin,2,2507143722.3100047
2,Public Protection,ADP Adult Probation,6,282189139.1399993
3,"Public Works, Transportation & Commerce",AIR Airport Commission,7,16127092443.059923
4,Culture & Recreation,ART Arts Commission,2,223821206.46000007
5,General Administration & Finance,ASR Assessor / Recorder,3,281926656.6600004
6,"Public Works, Transportation & Commerce",BOA Board Of Appeals - PAB,7,11813028.469999997
7,General Administration & Finance,BOS Board Of Supervisors,3,198109491.15999964
8,General Administration & Finance,CAT City Attorney,3,300272849.0599997
9,Human Welfare & Neighborhood Development,CCD SF Communtiy College Dist,5,836084648.6799997
10,Human Welfare & Neighborhood Development,CFC Children & Families Commsn,5,285072257.9100004
11,Human Welfare & Neighborhood Development,CHF Children;Youth & Families,5,1717911718.3700051
12,Human Welfare & Neighborhood Development,CII Commty Invest & Infrstrctr,5,452120735.22999996
13,General Administration & Finance,CON Controller,3,317592169.2500001
14,General Administration & Finance,CPC City Planning,3,403781963.84999996
15,Public Protection,CRT Superior Court,6,1848133866.4199996
16,General Administration & Finance,CSC Civil Service Commission,3,10974655.23999999
17,Human Welfare & Neighborhood Development,CSS Child Support Services,5,268855478.59000033
18,"Public Works, Transportation & Commerce",CTA SF County Transprtn Auth,7,1728042567.82
19,Public Protection,DAT District Attorney,6,716019756.189999
20,"Public Works, Transportation & Commerce",DBI Building Inspection,7,770965561.0000014
21,Public Protection,DEM Emergency Management,6,1256797717.3399968
22,Community Health,DPH Public Health,1,25392161701.47996
23,"Public Works, Transportation & Commerce",DPW GSA - Public Works,7,6603617236.040018
24,General Administration & Finance,DT GSA - Technology,3,103663231.34000008
25,"Public Works, Transportation & Commerce",ECN Economic & Wrkfrce Dvlpmnt,7,359775604.9600004
26,Human Welfare & Neighborhood Development,ENV Environment,5,262653943.70999962
27,General Administration & Finance,ETH Ethics Commission,3,42714073.90000001
28,Culture & Recreation,FAM Fine Arts Museum,2,262319110.87999988
29,Public Protection,FIR Fire Department,6,4976874946.810003
30,General City Responsibilities,GEN General City / Unallocated,4,5638312478.190004
31,"Public Works, Transportation & Commerce",HHP CleanPowerSF,7,29681600.269999992
32,"Public Works, Transportation & Commerce",HHP Hetch Hetchy Water & Power,7,2259481792.2999983
33,Human Welfare & Neighborhood Development,HOM HOMELESSNESS SERVICES,5,169031700.57000008
34,Human Welfare & Neighborhood Development,HRC Human Rights Commission,5,27231089.03000002
35,General Administration & Finance,HRD Human Resources,3,2060494002.5399983
36,Human Welfare & Neighborhood Development,HSA Human Services Agency,5,11027806176.830038
37,General Administration & Finance,HSS Health Service System,3,8609792061.149996
38,Public Protection,JUV Juvenile Probation,6,601022388.3100029
39,Culture & Recreation,LIB Public Library,2,1391338604.8299997
40,Culture & Recreation,LLB Law Library,2,12867570.620000001
41,"Public Works, Transportation & Commerce",MTA Municipal Transprtn Agncy,7,17289020871.540035
42,General Administration & Finance,MYR Mayor,3,1964354124.6300008
43,Public Protection,PDR Public Defender,6,411918547.8800002
44,Public Protection,POL Police,6,7566056858.250031
45,"Public Works, Transportation & Commerce",PRT Port,7,1317464715.6800065
46,"Public Works, Transportation & Commerce",PUB Public Utilities Bureaus,7,4571585974.6500025
47,Culture & Recreation,REC Recreation & Park Commsn,2,2201853714.8900046
48,General Administration & Finance,REG Elections,3,238600421.96999994
49,General Administration & Finance,RET Retirement System,3,15336691506.549963
50,Human Welfare & Neighborhood Development,RNT Rent Arbitration Board,5,87487482.71000005
51,Culture & Recreation,SCI Academy Of Sciences,2,61741381.57999999
52,Public Protection,SHF Sheriff,6,2467907211.8300085
53,"Public Works, Transportation & Commerce",TJP Transbay Joint Power Auth,7,9277703.540000001
54,General Administration & Finance,TTX Treasurer/Tax Collector,3,406784987.0300008
55,Human Welfare & Neighborhood Development,USD County Education Office,5,1172497047.54
56,Culture & Recreation,WAR War Memorial,2,341330370.92000043
57,Human Welfare & Neighborhood Development,WOM Status Of Women,5,70770859.44
58,"Public Works, Transportation & Commerce",WTR Water Enterprise,7,5220194368.859986
59,"Public Works, Transportation & Commerce",WWE Wastewater Enterprise,7,3782377418.9700065
