Department,FY2017-18 ,FY2018-19,FY2019-20,FY2020-21
Mayor,3851227,3647220,4239274,4374719
City Council,4699999,5522030,5987149,6121027
City Administrator,14892051,15418350,19227107,20337994
City Attorney,17686634,18531314,20216139,21157209
City Auditor,2031639,2064905,2309876,2426363
City Clerk,3637703,5080551,5443395,5256344
Police Commission,2275995,2963773,4101998,4320062
Public Ethics Commission,1057839,1031110,1160831,1300237
Finance Department,36791152,39768204,41534380,43802909
Information Technology,32715618,33004405,36263332,35448873
Race & Equity,467566,562175,637915,659313
Human Resources Management Department,8191251,9062938,9725407,10025904
Department of Violence Prevention,246195,1129204,1150190,1177495
Police Department,289459598,288322985,318707837,330118936
Fire Department,150231242,150162297,173776390,179030779
Oakland Public Library,30554064,40869305,42163604,43634106
"Oakland Parks, Recreation & Youth Development",28371743,30354070,35974659,36700457
Human Services,77807884,98356927,105003112,109332984
Economic & Workforce Development,30541579,18851328,16134916,15547339
Housing & Community Development,40901690,45440027,69287347,49248072
Planning & Building,30735389,36438847,44420485,44408063
Oakland Public Works,142599749,149179748,158336772,160488655
Transportation,54341527,60225341,64599173,61994737
Non-Departmental,382447955,361960219,373281863,372178597
