YEAR,COUNTY,ST_TOTAL,ST_LE_TOTAL,ST_LE_SWORN,ST_LE_NONSWORN,ST_OTH_FUNDED_TOTAL,ST_OTH_FUNDED_SWORN,ST_OTH_FUNDED_NONSWORN,CNTY_TOTAL,CNTY_LE_TOTAL,CNTY_LE_SWORN,CNTY_LE_NONSWORN,CNTY_OTH_FUNDED_TOTAL,CNTY_OTH_FUNDED_SWORN,CNTY_OTH_FUNDED_NONSWORN,SO_FUNDED_TOTAL,SO_FUNDED_SWORN,SO_FUNDED_NONSWORN,PD_FUNDED_TOTAL,PD_FUNDED_SWORN,PD_FUNDED_NONSWORN,CHP_FUNDED_TOTAL,CHP_FUNDED_SWORN,CHP_FUNDED_NONSWORN,Prosecution,DA_Attorneys,DA_Investigators,DA_Clerical,DA_Other,PublicDefense,PD_Attorneys,PD_Investigators,PD_Clerical,PD_Other,ProbationDept,ProbationOfficers,PROB_Other
2003,Alameda County,6233,4737,3028,1709,251,140,111,6233,4737,3028,1709,251,140,111,1506,936,570,2980,1952,1028, , , ,373,165,93,115,0,193,116,22,48,7,930,270,660
2003,Alpine County,18,14,11,3, , , ,18,14,11,3, , , ,14,11,3, , , , , , ,2,1,0,1,0, , , , , ,2,1,1
2003,Amador County,160,116,70,46, , , ,160,116,70,46, , , ,90,48,42,26,22,4, , , ,28,8,10,7,3, , , , , ,16,11,5
2003,Butte County,717,508,267,241,17,11,6,717,508,267,241,17,11,6,256,106,150,235,150,85, , , ,107,27,40,32,8, , , , , ,102,58,44
2003,Calaveras County,138,104,63,41, , , ,138,104,63,41, , , ,95,55,40,9,8,1, , , ,16,7,2,5,2, , , , , ,18,12,6
2003,Colusa County,104,79,49,30, , , ,104,79,49,30, , , ,60,32,28,19,17,2, , , ,11,3,3,3,2, , , , , ,14,8,6
2003,Contra Costa County,3393,2628,1811,817,309,211,98,3114,2349,1619,730,30,19,11,1060,710,350,1259,890,369, , , ,198,96,31,54,17,136,93,9,21,13,431,198,233
2003,Del Norte County,112,70,42,28, , , ,112,70,42,28, , , ,56,29,27,14,13,1, , , ,11,4,4,3,0, , , , , ,31,9,22
2003,El Dorado County,623,478,233,245, , , ,623,478,233,245, , , ,384,170,214,94,63,31, , , ,52,17,9,17,9,17,11,1,5,0,76,42,34
2003,Fresno County,3542,2541,1452,1089,42,29,13,3542,2541,1452,1089,42,29,13,1076,467,609,1423,956,467, , , ,243,105,58,55,25,102,64,9,21,8,656,158,498
2003,Glenn County,134,91,50,41, , , ,134,91,50,41, , , ,66,29,37,25,21,4, , , ,7,3,1,3,0, , , , , ,36,11,25
2003,Humboldt County,606,412,304,108,20,12,8,606,412,304,108,20,12,8,236,189,47,156,103,53, , , ,64,16,12,20,16,17,10,2,5,0,113,80,33
2003,Imperial County,677,471,328,143, , , ,677,471,328,143, , , ,259,173,86,212,155,57, , , ,43,19,11,10,3,14,9,1,4,0,149,61,88
2003,Inyo County,143,93,72,21, , , ,143,93,72,21, , , ,73,58,15,20,14,6, , , ,14,4,3,5,2, , , , , ,36,12,24
2003,Kern County,2444,1704,935,769,14,10,4,2444,1704,935,769,14,10,4,1063,474,589,627,451,176, , , ,179,74,48,48,9,81,53,11,15,2,480,231,249
2003,Kings County,489,315,163,152, , , ,489,315,163,152, , , ,193,74,119,122,89,33, , , ,47,18,11,15,3, , , , , ,127,49,78
2003,Lake County,266,198,97,101, , , ,266,198,97,101, , , ,150,61,89,48,36,12, , , ,27,13,6,7,1, , , , , ,41,21,20
2003,Lassen County,162,118,93,25, , , ,162,118,93,25, , , ,96,74,22,22,19,3, , , ,8,4,1,2,1,5,3,0,2,0,31,11,20
2003,Los Angeles County,42661,34538,22900,11638,247,173,74,42661,34538,22900,11638,247,173,74,14461,8581,5880,19830,14146,5684, , , ,1979,957,238,520,264,1007,671,75,158,103,5137,2366,2771
2003,Madera County,353,203,145,58, , , ,353,203,145,58, , , ,110,78,32,93,67,26, , , ,33,12,11,8,2, , , , , ,117,50,67
2003,Marin County,915,671,483,188,8,5,3,915,671,483,188,8,5,3,306,207,99,357,271,86, , , ,95,40,11,29,15,45,26,4,11,4,104,58,46
2003,Mariposa County,78,59,49,10, , , ,78,59,49,10, , , ,59,49,10, , , , , , ,8,3,1,3,1, , , , , ,11,9,2
2003,Mendocino County,411,248,188,60, , , ,411,248,188,60, , , ,173,134,39,75,54,21, , , ,51,17,8,16,10,21,12,3,4,2,91,38,53
2003,Merced County,688,488,355,133, , , ,688,488,355,133, , , ,233,176,57,255,179,76, , , ,75,22,13,30,10,17,12,2,3,0,108,58,50
2003,Modoc County,48,37,31,6, , , ,48,37,31,6, , , ,27,22,5,10,9,1, , , ,5,1,1,3,0, , , , , ,6,4,2
2003,Mono County,79,66,44,22, , , ,79,66,44,22, , , ,43,26,17,23,18,5, , , ,7,3,1,2,1, , , , , ,6,5,1
2003,Monterey County,1373,953,722,231,21,19,2,1373,953,722,231,21,19,2,444,327,117,488,376,112, , , ,128,48,30,37,13,44,25,7,10,2,248,176,72
2003,Napa County,519,364,275,89,99,92,7,519,364,275,89,99,92,7,115,86,29,150,97,53, , , ,46,21,9,14,2,22,14,2,5,1,87,42,45
2003,Nevada County,368,267,125,142, , , ,368,267,125,142, , , ,197,71,126,70,54,16, , , ,26,11,2,13,0,12,8,0,4,0,63,22,41
2003,Orange County,10161,7718,4468,3250,62,45,17,10161,7718,4468,3250,62,45,17,3653,1793,1860,4003,2630,1373, , , ,642,228,120,188,106,361,191,74,61,35,1440,382,1058
2003,Placer County,903,679,406,273, , , ,903,679,406,273, , , ,396,219,177,283,187,96, , , ,93,35,10,44,4, , , , , ,131,98,33
2003,Plumas County,95,71,38,33, , , ,95,71,38,33, , , ,71,38,33, , , , , , ,10,3,2,2,3, , , , , ,14,10,4
2003,Riverside County,5844,4429,2519,1910,58,45,13,5844,4429,2519,1910,58,45,13,2944,1517,1427,1427,957,470, , , ,463,164,66,139,94,184,99,33,36,16,768,281,487
2003,Sacramento County,15979,14684,10365,4319,1055,861,194,4774,3479,2292,1187,52,37,15,2258,1507,751,1169,748,421,10202,7249,2953,443,165,52,107,119,149,96,26,22,5,703,557,146
2003,San Benito County,131,103,64,39, , , ,131,103,64,39, , , ,62,30,32,41,34,7, , , ,9,4,1,3,1, , , , , ,19,14,5
2003,San Bernardino County,6531,4744,2775,1969,132,62,70,6531,4744,2775,1969,132,62,70,2846,1534,1312,1766,1179,587, , , ,435,205,46,137,47,177,102,24,50,1,1175,390,785
2003,San Diego County,10528,7686,5234,2452,271,196,75,10528,7686,5234,2452,271,196,75,3166,1980,1186,4249,3058,1191, , , ,957,282,198,267,210,350,195,57,63,35,1535,1168,367
2003,San Francisco County,4176,3682,3103,579,103,67,36,4176,3682,3103,579,103,67,36,994,827,167,2585,2209,376, , , ,254,117,43,21,73,119,83,16,13,7,121,94,27
2003,San Joaquin County,2281,1668,927,741,21,15,6,2281,1668,927,741,21,15,6,718,298,420,929,614,315, , , ,202,82,51,41,28,87,52,15,18,2,324,128,196
2003,San Luis Obispo County,1091,847,511,336,179,145,34,1091,847,511,336,179,145,34,370,156,214,298,210,88, , , ,97,33,16,20,28, , , , , ,147,103,44
2003,San Mateo County,2286,1724,1254,470, , , ,2286,1724,1254,470, , , ,568,410,158,1156,844,312, , , ,123,54,11,37,21, , , , , ,439,328,111
2003,Santa Barbara County,1714,1118,783,335,58,33,25,1714,1118,783,335,58,33,25,623,447,176,437,303,134, , , ,142,50,24,42,26,71,34,12,20,5,383,256,127
2003,Santa Clara County,5404,3872,2880,992,111,59,52,5404,3872,2880,992,111,59,52,710,553,157,3051,2268,783, , , ,495,201,102,112,80,207,109,29,40,29,830,323,507
2003,Santa Cruz County,863,637,476,161,44,19,25,863,637,476,161,44,19,25,319,261,58,274,196,78, , , ,87,33,16,26,12, , , , , ,139,79,60
2003,Shasta County,635,433,260,173, , , ,635,433,260,173, , , ,249,135,114,184,125,59, , , ,76,23,18,20,15, , , , , ,126,51,75
2003,Sierra County,24,17,11,6, , , ,24,17,11,6, , , ,17,11,6, , , , , , ,2,1,0,1,0, , , , , ,5,3,2
2003,Siskiyou County,265,197,140,57, , , ,265,197,140,57, , , ,128,96,32,69,44,25, , , ,27,9,6,4,8,6,5,0,1,0,35,18,17
2003,Solano County,1595,1155,579,576,7,6,1,1595,1155,579,576,7,6,1,472,110,362,676,463,213, , , ,129,59,12,49,9,71,45,8,18,0,240,124,116
2003,Sonoma County,1708,1263,673,590,40,24,16,1708,1263,673,590,40,24,16,663,269,394,560,380,180, , , ,117,45,16,41,15,47,27,8,11,1,281,115,166
2003,Stanislaus County,1620,1247,654,593,22,11,11,1620,1247,654,593,22,11,11,628,226,402,597,417,180, , , ,128,45,19,49,15,43,25,4,9,5,202,153,49
2003,Sutter County,267,207,155,52, , , ,267,207,155,52, , , ,136,108,28,71,47,24, , , ,24,9,10,4,1, , , , , ,36,29,7
2003,Tehama County,259,174,127,47, , , ,259,174,127,47, , , ,114,87,27,60,40,20, , , ,24,8,5,8,3, , , , , ,61,29,32
2003,Trinity County,61,27,20,7, , , ,61,27,20,7, , , ,27,20,7, , , , , , ,12,4,3,3,2, , , , , ,22,9,13
2003,Tulare County,1569,1006,717,289,6,5,1,1569,1006,717,289,6,5,1,602,424,178,398,288,110, , , ,183,61,45,39,38,65,34,9,10,12,315,102,213
2003,Tuolumne County,217,156,84,72, , , ,217,156,84,72, , , ,139,71,68,17,13,4, , , ,23,7,2,7,7,7,4,1,2,0,31,17,14
2003,Ventura County,3071,2141,1332,809,16,12,4,3071,2141,1332,809,16,12,4,1343,798,545,782,522,260, , , ,282,96,69,64,53,80,51,11,12,6,568,445,123
2003,Yolo County,771,559,306,253,73,41,32,771,559,306,253,73,41,32,214,76,138,272,189,83, , , ,99,31,29,25,14,31,21,4,5,1,82,36,46
2003,Yuba County,287,130,90,40, , , ,287,130,90,40, , , ,91,61,30,39,29,10, , , ,19,12,3,3,1, , , , , ,138,38,100
2004,Alameda County,5560,4505,2898,1607,249,138,111,5560,4505,2898,1607,249,138,111,1456,922,534,2800,1838,962, , , ,349,161,72,116,0,188,114,22,45,7,518,251,267
2004,Alpine County,22,17,13,4, , , ,22,17,13,4, , , ,17,13,4, , , , , , ,2,1,0,1,0, , , , , ,3,2,1
2004,Amador County,164,109,66,43, , , ,164,109,66,43, , , ,83,44,39,26,22,4, , , ,34,8,14,6,6, , , , , ,21,14,7
2004,Butte County,740,503,265,238,22,14,8,740,503,265,238,22,14,8,252,102,150,229,149,80, , , ,95,26,30,31,8, , , , , ,142,57,85
2004,Calaveras County,140,105,64,41, , , ,140,105,64,41, , , ,96,56,40,9,8,1, , , ,16,7,2,5,2, , , , , ,19,13,6
2004,Colusa County,93,72,49,23, , , ,93,72,49,23, , , ,52,31,21,20,18,2, , , ,7,2,2,2,1, , , , , ,14,7,7
2004,Contra Costa County,3301,2556,1765,791,310,209,101,3022,2277,1576,701,31,20,11,1052,695,357,1194,861,333, , , ,192,97,24,54,17,133,86,9,20,18,420,192,228
2004,Del Norte County,114,70,43,27, , , ,114,70,43,27, , , ,56,30,26,14,13,1, , , ,10,3,3,4,0, , , , , ,34,9,25
2004,El Dorado County,611,472,230,242, , , ,611,472,230,242, , , ,376,168,208,96,62,34, , , ,50,17,9,15,9,17,11,1,5,0,72,40,32
2004,Fresno County,3604,2613,1518,1095,35,22,13,3604,2613,1518,1095,35,22,13,1080,474,606,1498,1022,476, , , ,246,106,57,58,25,99,60,9,22,8,646,151,495
2004,Glenn County,127,92,48,44, , , ,127,92,48,44, , , ,67,27,40,25,21,4, , , ,7,3,1,3,0, , , , , ,28,9,19
2004,Humboldt County,580,382,285,97,20,11,9,580,382,285,97,20,11,9,219,174,45,143,100,43, , , ,56,14,9,19,14,29,17,3,9,0,113,78,35
2004,Imperial County,653,447,312,135, , , ,653,447,312,135, , , ,238,160,78,209,152,57, , , ,45,18,10,14,3,14,9,1,4,0,147,60,87
