CntyCode,County,Code,Agency,Start,End
01,Alameda County,0100,Alameda Co. Sheriff's Department,,
01,Alameda County,0101,Alameda,,
01,Alameda County,0102,Albany,,
01,Alameda County,0103,Berkeley,,
01,Alameda County,0104,Emeryville,,
01,Alameda County,0105,Fremont,,
01,Alameda County,0106,Hayward,,
01,Alameda County,0107,Livermore,,
01,Alameda County,0108,Newark,,
01,Alameda County,0109,Oakland,,
01,Alameda County,0110,Piedmont,,
01,Alameda County,0111,Pleasanton,,
01,Alameda County,0112,San Leandro,,
01,Alameda County,0113,Union City,,
01,Alameda County,0114,East Bay Reg. Park Dist. - Alameda,,
01,Alameda County,0115,CSU East Bay,,
01,Alameda County,0116,Union Pacific RR - Alameda,1/1/1997,
01,Alameda County,011A,ABC Oakland,1/1/2003,12/31/2003
01,Alameda County,0121,Alameda BART,,
01,Alameda County,0122,UC Lawrence-Livermore,,6/30/2007
01,Alameda County,0127,UC Lawrence-Berkeley,1/1/1980,6/30/1992
01,Alameda County,0128,Santa Fe RR - Alameda,1/1/1981,5/31/1990
01,Alameda County,0129,Southern Pacific RR - Alameda,7/1/1981,12/31/1996
01,Alameda County,0130,Dublin,2/1/1982,
01,Alameda County,0131,East Bay Mun. Util. Dist. - Alameda,12/1/1983,12/31/2016
01,Alameda County,0132,Union Pacific RR - Alameda,3/1/1985,12/31/1996
01,Alameda County,0197,UC Berkeley,,
01,Alameda County,0198,CA State Police - Alameda,,6/30/1995
01,Alameda County,0199,CA Highway Patrol - Alameda,,
02,Alpine County,0200,Alpine Co. Sheriff's Department,,
02,Alpine County,0299,CA Highway Patrol - Alpine,,
03,Amador County,0300,Amador Co. Sheriff's Department,,
03,Amador County,0301,Amador,,prior to 1979
03,Amador County,0302,Ione,,
03,Amador County,0303,Jackson,,
03,Amador County,0304,Plymouth,,9/30/1985
03,Amador County,0305,Sutter Creek,,
03,Amador County,0306,Union Pacific RR - Amador,7/1/1981,
03,Amador County,0399,CA Highway Patrol - Amador,,
04,Butte County,0400,Butte Co. Sheriff's Department,,
04,Butte County,0401,Biggs,,
04,Butte County,0402,Chico,,
04,Butte County,0403,Gridley,,
04,Butte County,0404,Oroville,,
04,Butte County,0405,Paradise,,
04,Butte County,0406,Union Pacific RR - Butte,7/1/1981,
04,Butte County,0407,Northern Buttes DPR,1/1/1985,
