Date,Authorized Sworn FTE,Actual Sworn FTE
July 2010,723,689
August 2010,723,682
September 2010,723,681
October 2010,723,672
November 2010,723,669
December 2010,723,658
January 2011,689,655
February 2011,689,662
March 2011,689,657
April 2011,689,647
May 2011,689,641
June 2011,689,637
July 2011,636,632
August 2011,636,655
September 2011,636,653
October 2011,636,647
November 2011,636,645
December 2011,636,643
January 2012,661,651
February 2012,661,659
March 2012,661,657
April 2012,661,652
May 2012,661,646
June 2012,661,645
July 2012,613,643
August 2012,613,636
September 2012,613,631
October 2012,613,628
November 2012,613,626
December 2012,613,621
January 2013,613,615
February 2013,613,613
March 2013,613,650
April 2013,613,642
May 2013,613,636
June 2013,613,633
July 2013,665,624
August 2013,665,643
September 2013,665,639
October 2013,665,639
November 2013,665,634
December 2013,675,626
January 2014,675,624
February 2014,675,615
March 2014,675,612
April 2014,675,654
May 2014,675,649
June 2014,675,647
July 2014,707,677
August 2014,707,667
September 2014,707,684
October 2014,707,715
November 2014,707,705
December 2014,722,695
January 2015,722,694
February 2015,722,696
March 2015,722,690
April 2015,722,722
May 2015,722,723
June 2015,722,717
July 2015,722,719
August 2015,722,714
September 2015,722,705
October 2015,737,734
November 2015,737,725
December 2015,737,721
January 2016,737,750
February 2016,737,747
March 2016,737,738
April 2016,737,737
May 2016,737,773
June 2016,737,773
July 2016,777,768
August 2016,777,765
September 2016,777,761
October 2016,777,751
November 2016,779,746
December 2016,794,744
January 2017,794,763
February 2017,794,762
March 2017,794,755
April 2017,794,751
May 2017,794,766
June 2017,794,760
July 2017,794,757
August 2017,794,750
September 2017,794,748
October 2017,794,744
November 2017,794,742
December 2017,794,747
January 2018,794,743
February 2018,794,733
March 2018,794,745
April 2018,794,739
May 2018,794,735
June 2018,794,731
July 2018,794,738
August 2018,794,732
September 2018,794,726
October 2018,792,720
November 2018,792,714
December 2018,792,738
January 2019,792,732
February 2019,792,726
March 2019,792,720
April 2019,792,714
May 2019,792,708
June 2019,792,702
