UoFKey,UoFNumber,RDNumber,IncidentDate,Location,Beat,Officer Identifier,SubjectKey,SubjAgeatTOI,SubjRace,SubjGender,ForceLevel,ForceType,Description
1199,10F-0001,10-000285,1/2/2010 13:20,700 Adeline Street     ,,2958,4011,29,Black,Male,Level 3,11,"If Taser® Probes Impact Clothing, Penetrates Skin, or Push Stun"
1199,10F-0001,10-000285,1/2/2010 13:20,700 Adeline Street     ,,2896,4011,29,Black,Male,Level 3,16,Weaponless Defense Technique Other than for Control Hold
1199,10F-0001,10-000285,1/2/2010 13:20,700 Adeline Street     ,,2896,4011,29,Black,Male,Level 4,25,"Weaponless Control Technique Control Hold with no injury or complaint of injury (Bent Wrist, Twist Lock, Arm-Bar)"
1200,10F-0002,10-000666,1/4/2010 4:50,1400 E 31st Street     ,,2962,4012,25,Black,Male,Level 4,25,"Weaponless Control Technique Control Hold with no injury or complaint of injury (Bent Wrist, Twist Lock, Arm-Bar)"
1211,10F-0073,10-003487,1/5/2010 17:35,100th Ave & MacArthur Blvd    ,,2755,4062,38,Black,Male,Level 3,11,"If Taser® Probes Impact Clothing, Penetrates Skin, or Push Stun"
1211,10F-0073,10-003487,1/5/2010 17:35,100th Ave & MacArthur Blvd    ,,843,4062,38,Black,Male,Level 3,11,"If Taser® Probes Impact Clothing, Penetrates Skin, or Push Stun"
1203,10F-0017,10-001040,1/5/2010 18:56,1300 Broadway      ,,3035,4024,19,Black,Male,Level 4,23,"Weaponless Defense Technique applied to a vulnerable area, excluding strikes (e.g., hair grab, pressure to mastoid, shoulder grab)"
1203,10F-0017,10-001040,1/5/2010 18:56,1300 Broadway      ,,3160,4024,19,Black,Male,Level 3,16,Weaponless Defense Technique Other than for Control Hold
1203,10F-0017,10-001040,1/5/2010 18:56,1300 Broadway      ,,3160,4024,19,Black,Male,Level 4,25,"Weaponless Control Technique Control Hold with no injury or complaint of injury (Bent Wrist, Twist Lock, Arm-Bar)"
1203,10F-0017,10-001040,1/5/2010 18:56,1300 Broadway      ,,2816,4024,19,Black,Male,Level 2,9,Strike to the Head - Other than an Intentional Strike to Head with an Impact Weapon
1201,10F-0013,10-001615,1/8/2010 15:40,800 31st Street     ,,2384,4013,27,Black,Male,Level 2,14,"Police Patrol Canine Bites Clothing, Skin, or Injures a Person beyond first aide"
1201,10F-0013,10-001615,1/8/2010 15:40,800 31st Street     ,,2384,4013,27,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1202,10F-0014,10-001922,1/9/2010 22:30,800 Washington Street     ,,1046,4021,19,Black,Male,Level 4,25,"Weaponless Control Technique Control Hold with no injury or complaint of injury (Bent Wrist, Twist Lock, Arm-Bar)"
1202,10F-0014,10-001922,1/9/2010 22:30,800 Washington Street     ,,709,4021,19,Black,Male,Level 2,12,Impact/Impromptu Weapon with Contact - Regardless of Injury
1202,10F-0014,10-001922,1/9/2010 22:30,800 Washington Street     ,,709,4021,19,Black,Male,Level 3,16,Weaponless Defense Technique Other than for Control Hold
1204,10F-0056,10-002600,1/12/2010 20:00,9500 International Blvd     ,,2901,4035,28,Black,Male,Level 4,23,"Weaponless Defense Technique applied to a vulnerable area, excluding strikes (e.g., hair grab, pressure to mastoid, shoulder grab)"
1206,10F-0059,10-003170,1/15/2010 12:15,      ,,597,4043,24,Black,Male,Level 3,16,Weaponless Defense Technique Other than for Control Hold
1206,10F-0059,10-003170,1/15/2010 12:15,      ,,2690,4043,24,Black,Male,Level 3,16,Weaponless Defense Technique Other than for Control Hold
1206,10F-0059,10-003170,1/15/2010 12:15,      ,,2690,4043,24,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1205,10F-0057,10-003958,1/19/2010 2:00,1000 3rd Street     ,,1046,4036,54,Black,Male,Level 2,14,"Police Patrol Canine Bites Clothing, Skin, or Injures a Person beyond first aide"
1205,10F-0057,10-003958,1/19/2010 2:00,1000 3rd Street     ,,3032,4036,54,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1205,10F-0057,10-003958,1/19/2010 2:00,1000 3rd Street     ,,1492,4036,54,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1205,10F-0057,10-003958,1/19/2010 2:00,1000 3rd Street     ,,3041,4036,54,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,3013,4095,21,Black,Male,Level 3,11,"If Taser® Probes Impact Clothing, Penetrates Skin, or Push Stun"
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,3013,4095,21,Black,Male,Level 3,18,Taser Fired but Probes Misses
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,2958,4092,17,Black,Female,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,2958,4093,23,Black,Female,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,2958,4095,21,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,2958,4094,20,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,3152,4095,21,Black,Male,Level 3,16,Weaponless Defense Technique Other than for Control Hold
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,3015,4092,17,Black,Female,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,3015,4093,23,Black,Female,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,3015,4095,21,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,3015,4094,20,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,2784,4092,17,Black,Female,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,2784,4093,23,Black,Female,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,2784,4095,21,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,2784,4094,20,Black,Male,Level 4,22,Intentionally Pointing a Firearm at a Person
1221,10F-0144,10-003850,1/19/2010 14:42,Northgate St on Freeway on ramp    ,,3036,4092,17,Black,Female,Level 4,22,Intentionally Pointing a Firearm at a Person
