year,level,value
2000-01-01,lv_1,8.0
2001-01-01,lv_1,8.0
2002-01-01,lv_1,10.0
2003-01-01,lv_1,2.0
2004-01-01,lv_1,7.0
2005-01-01,lv_1,7.0
2006-01-01,lv_1,7.0
2007-01-01,lv_1,11.0
2008-01-01,lv_1,10.0
2009-01-01,lv_1,6.0
2010-01-01,lv_1,6.0
2011-01-01,lv_1,8.0
2012-01-01,lv_1,8.0
2013-01-01,lv_1,5.0
2014-01-01,lv_1,1.0
2015-01-01,lv_1,11.0
2016-01-01,lv_1,0.0
2017-01-01,lv_1,2.0
2000-01-01,lv_2,
2001-01-01,lv_2,
2002-01-01,lv_2,
2003-01-01,lv_2,
2004-01-01,lv_2,
2005-01-01,lv_2,
2006-01-01,lv_2,
2007-01-01,lv_2,170.0
2008-01-01,lv_2,98.0
2009-01-01,lv_2,75.0
2010-01-01,lv_2,74.0
2011-01-01,lv_2,57.0
2012-01-01,lv_2,43.0
2013-01-01,lv_2,30.0
2014-01-01,lv_2,9.0
2015-01-01,lv_2,12.0
2016-01-01,lv_2,30.0
2017-01-01,lv_2,18.0
2000-01-01,lv_3,
2001-01-01,lv_3,
2002-01-01,lv_3,
2003-01-01,lv_3,
2004-01-01,lv_3,
2005-01-01,lv_3,
2006-01-01,lv_3,
2007-01-01,lv_3,206.0
2008-01-01,lv_3,148.0
2009-01-01,lv_3,164.0
2010-01-01,lv_3,107.0
2011-01-01,lv_3,89.0
2012-01-01,lv_3,71.0
2013-01-01,lv_3,63.0
2014-01-01,lv_3,43.0
2015-01-01,lv_3,39.0
2016-01-01,lv_3,47.0
2017-01-01,lv_3,74.0
2000-01-01,lv_4,
2001-01-01,lv_4,
2002-01-01,lv_4,
2003-01-01,lv_4,
2004-01-01,lv_4,
2005-01-01,lv_4,
2006-01-01,lv_4,
2007-01-01,lv_4,1492.0
2008-01-01,lv_4,1913.0
2009-01-01,lv_4,1932.0
2010-01-01,lv_4,1770.0
2011-01-01,lv_4,1346.0
2012-01-01,lv_4,1124.0
2013-01-01,lv_4,738.0
2014-01-01,lv_4,557.0
2015-01-01,lv_4,443.0
2016-01-01,lv_4,337.0
2017-01-01,lv_4,223.0
