INCIDENT NUMBER,REPORT NUMBER,UOF DATE,SUBJECT NUMBER,SUBJECT RACE,SUBJECT AGE,SUBJECT SEX,WEAPON TYPE,TYPE OF WEAPON(OTHER),COMPLAINT OF PAIN,SUBJECT INJURED,CHARGES
UOF-2015-0034,150000102,1/1/2015,,,,,,,,,
UOF-2015-0003,150003128,1/2/2015,,,,,,,,,
UOF-2015-0010,150003071,1/2/2015,,,,,,,,,
UOF-2015-0004,150004916,1/3/2015,,,,,,,,,
UOF-2015-0005,150008112,1/3/2015,,,,,,,,,
UOF-2015-0012,150007465,1/3/2015,,,,,,,,,
UOF-2015-0013,150007960,1/3/2015,,,,,,,,,
UOF-2015-0035,150007891,1/3/2015,,,,,,,,,
UOF-2015-0014,150010606,1/4/2015,27699,W - White,32,M,Replica Firearm,,No,Yes,
UOF-2015-0036,150009449,1/4/2015,27698,B - Black,37,M,,,No,No,
UOF-2015-0031,150007192,1/4/2015,,,,,,,,,
UOF-2015-0021,150014175,1/5/2015,,,,,,,,,
UOF-2015-0028,141093120,1/5/2015,,,,,,,,,
UOF-2015-0032,150012721,1/5/2015,,,,,,,,,
UOF-2015-0024,150016400,1/6/2015,,,,,,,,,
UOF-2015-0029,150016024,1/6/2015,,,,,,,,,
UOF-2015-0030,150018268,1/6/2015,,,,,,,,,
UOF-2015-0025,150019959,1/7/2015,,,,,,,,,
UOF-2015-0037,150020978,1/7/2015,,,,,,,,,
UOF-2015-0015,150023944,1/8/2015,,,,,,,,,
UOF-2015-0016,150026744,1/9/2015,,,,,,,,,
UOF-2015-0018,150024776,1/9/2015,,,,,,,,,
UOF-2015-0017,150028342,1/10/2015,,,,,,,,,
UOF-2015-0001,150031276,1/11/2015,,,,,,,,,
UOF-2015-0002,150032804,1/11/2015,,,,,,,,,
UOF-2015-0006,150032202,1/11/2015,,,,,,,,,
UOF-2015-0007,150031925,1/11/2015,,,,,,,,,
UOF-2015-0011,150032791,1/11/2015,,,,,,,,,
UOF-2015-0019,150031107,1/11/2015,,,,,,,,,
UOF-2015-0022,150031903,1/11/2015,,,,,,,,,
UOF-2015-0026,150031527,1/11/2015,,,,,,,,,
UOF-2015-0027,150031997,1/11/2015,,,,,,,,,
UOF-2015-0038,150028825,1/11/2015,,,,,,,,,
UOF-2015-0020,150033385,1/12/2015,,,,,,,,,
UOF-2015-0023,150036088,1/12/2015,,,,,,,,,
UOF-2015-0033,1501252,1/12/2015,,,,,,,,,
UOF-2015-0008,150045863,1/15/2015,,,,,,,,,
UOF-2015-0009,150045863,1/15/2015,,,,,,,,,
UOF-2015-0039,150051898,1/17/2015,,,,,,,,,
UOF-2015-0062,150050953,1/17/2015,,,,,,,,,
UOF-2015-0041,150054046,1/18/2015,,,,,,,,,
UOF-2015-0047,150056525,1/19/2015,,,,,,,,,
UOF-2015-0050,150057244,1/19/2015,,,,,,,,,
UOF-2015-0051,150058474,1/19/2015,,,,,,,,,
UOF-2015-0055,150057357,1/19/2015,,,,,,,,,
UOF-2015-0058,150058004,1/19/2015,,,,,,,,,
UOF-2015-0063,150056070,1/19/2015,,,,,,,,,
UOF-2015-0048,150063887,1/21/2015,,,,,,,,,
UOF-2015-0052,150065742,1/22/2015,,,,,,,,,
UOF-2015-0042,150070434,1/23/2015,,,,,,,,,
UOF-2015-0053,150071084,1/23/2015,,,,,,,,,
UOF-2015-0056,150069142,1/23/2015,,,,,,,,,
UOF-2015-0057,150071313,1/23/2015,,,,,,,,,
UOF-2015-0043,150073284,1/24/2015,,,,,,,,,
UOF-2015-0064,150073814,1/24/2015,,,,,,,,,
UOF-2015-0044,150075036,1/25/2015,,,,,,,,,
UOF-2015-0059,150076921,1/25/2015,,,,,,,,,
UOF-2015-0045,150080029,1/26/2015,,,,,,,,,
UOF-2015-0054,150079674,1/26/2015,,,,,,,,,
UOF-2015-0040,150081723,1/27/2015,,,,,,,,,
UOF-2015-0046,150085455,1/28/2015,,,,,,,,,
UOF-2015-0049,150086516,1/28/2015,,,,,,,,,
UOF-2015-0060,150089695,1/29/2015,,,,,,,,,
UOF-2015-0065,150088590,1/29/2015,,,,,,,,,
UOF-2015-0079,141082509,1/29/2015,,,,,,,,,
UOF-2015-0066,150092319,1/30/2015,,,,,,,,,
UOF-2015-0061,150096521,1/31/2015,,,,,,,,,
UOF-2015-0076,150096753,2/1/2015,,,,,,,,,
UOF-2015-0077,150098947,2/1/2015,,,,,,,,,
UOF-2015-0078,150101409,2/2/2015,,,,,,,,,
UOF-2015-0090,150101772,2/2/2015,,,,,,,,,
UOF-2015-0092,150102372,2/2/2015,,,,,,,,,
UOF-2015-0787,150099484,2/2/2015,,,,,,,,,
UOF-2015-0069,150102974,2/3/2015,,,,,,,,,
UOF-2015-0070,150103449,2/3/2015,,,,,,,,,
UOF-2015-0080,150104798,2/3/2015,,,,,,,,,
UOF-2015-0085,150103972,2/3/2015,,,,,,,,,
UOF-2015-0074,140641647,2/4/2015,,,,,,,,,
UOF-2015-0088,150112989,2/6/2015,,,,,,,,,
UOF-2015-0089,150114446,2/6/2015,,,,,,,,,
UOF-2015-0071,150117826,2/7/2015,,,,,,,,,
UOF-2015-0081,150117042,2/7/2015,,,,,,,,,
UOF-2015-0093,150117531,2/7/2015,,,,,,,,,
UOF-2015-0072,150120738,2/8/2015,,,,,,,,,
UOF-2015-0082,150124382,2/10/2015,,,,,,,,,
UOF-2015-0067,150127546,2/11/2015,,,,,,,,,
UOF-2015-0083,150127693,2/11/2015,,,,,,,,,
UOF-2015-0086,150128710,2/11/2015,,,,,,,,,
UOF-2015-0087,150130630,2/11/2015,,,,,,,,,
UOF-2015-0094,150135806,2/13/2015,,,,,,,,,
UOF-2015-0073,150138690,2/14/2015,,,,,,,,,
UOF-2015-0084,150138195,2/14/2015,,,,,,,,,
