,CountyName,RaceName,year,population
2856,San Francisco,American Indian,2010,1925
2857,San Francisco,American Indian,2011,2064
2858,San Francisco,American Indian,2012,2218
2859,San Francisco,American Indian,2013,2375
2860,San Francisco,American Indian,2014,2531
2861,San Francisco,American Indian,2015,2718
2862,San Francisco,American Indian,2016,2879
2863,San Francisco,American Indian,2017,3184
2864,San Francisco,American Indian,2018,3379
2865,San Francisco,American Indian,2019,3479
2866,San Francisco,American Indian,2020,3560
2867,San Francisco,American Indian,2021,3640
2907,San Francisco,Asian,2010,269561
2908,San Francisco,Asian,2011,275624
2909,San Francisco,Asian,2012,281431
2910,San Francisco,Asian,2013,287401
2911,San Francisco,Asian,2014,294461
2912,San Francisco,Asian,2015,301673
2913,San Francisco,Asian,2016,307470
2914,San Francisco,Asian,2017,313760
2915,San Francisco,Asian,2018,318959
2916,San Francisco,Asian,2019,322798
2917,San Francisco,Asian,2020,326528
2918,San Francisco,Asian,2021,330706
2958,San Francisco,Black,2010,47237
2959,San Francisco,Black,2011,47257
2960,San Francisco,Black,2012,47223
2961,San Francisco,Black,2013,47198
2962,San Francisco,Black,2014,47640
2963,San Francisco,Black,2015,48336
2964,San Francisco,Black,2016,48309
2965,San Francisco,Black,2017,48077
2966,San Francisco,Black,2018,48365
2967,San Francisco,Black,2019,48150
2968,San Francisco,Black,2020,47969
2969,San Francisco,Black,2021,47768
3009,San Francisco,Hispanic,2010,122675
3010,San Francisco,Hispanic,2011,124839
3011,San Francisco,Hispanic,2012,127603
3012,San Francisco,Hispanic,2013,128500
3013,San Francisco,Hispanic,2014,127819
3014,San Francisco,Hispanic,2015,129460
3015,San Francisco,Hispanic,2016,130190
3016,San Francisco,Hispanic,2017,130637
3017,San Francisco,Hispanic,2018,131399
3018,San Francisco,Hispanic,2019,131389
3019,San Francisco,Hispanic,2020,131265
3020,San Francisco,Hispanic,2021,131526
3060,San Francisco,Multi-Race,2010,23455
3061,San Francisco,Multi-Race,2011,20941
3062,San Francisco,Multi-Race,2012,19255
3063,San Francisco,Multi-Race,2013,18150
3064,San Francisco,Multi-Race,2014,17222
3065,San Francisco,Multi-Race,2015,16311
3066,San Francisco,Multi-Race,2016,15830
3067,San Francisco,Multi-Race,2017,15299
3068,San Francisco,Multi-Race,2018,15371
3069,San Francisco,Multi-Race,2019,14707
3070,San Francisco,Multi-Race,2020,14222
3071,San Francisco,Multi-Race,2021,13812
3111,San Francisco,Pacific Islander,2010,3114
3112,San Francisco,Pacific Islander,2011,2953
3113,San Francisco,Pacific Islander,2012,2728
3114,San Francisco,Pacific Islander,2013,2613
3115,San Francisco,Pacific Islander,2014,2597
3116,San Francisco,Pacific Islander,2015,2630
3117,San Francisco,Pacific Islander,2016,2563
3118,San Francisco,Pacific Islander,2017,2496
3119,San Francisco,Pacific Islander,2018,2395
3120,San Francisco,Pacific Islander,2019,2208
3121,San Francisco,Pacific Islander,2020,2046
3122,San Francisco,Pacific Islander,2021,1950
3162,San Francisco,White,2010,342402
3163,San Francisco,White,2011,347557
3164,San Francisco,White,2012,354114
3165,San Francisco,White,2013,358826
3166,San Francisco,White,2014,362317
3167,San Francisco,White,2015,363277
3168,San Francisco,White,2016,365040
3169,San Francisco,White,2017,366890
3170,San Francisco,White,2018,366750
3171,San Francisco,White,2019,366629
3172,San Francisco,White,2020,366690
3173,San Francisco,White,2021,366459
